caso_id,nombre_caso,modulo,subproceso,tipo_prueba,prioridad,estado,severidad_defecto,defecto_id,ambiente,release,tester,fecha_ejecucion,duracion_min,evidencia,automatizado
TC-0188,Validar internas,Transferencias,Reversos,Funcional,Baja,Aprobado,Sin defecto,,SIT,R25,Carlos,2026-07-12,6,Sí,No
TC-0189,Validar mantenimiento,Cuentas,Cierre,API,Baja,Aprobado,Sin defecto,,QA,R25,José,2026-07-30,14,Sí,Sí
TC-0190,Validar reversos,Transferencias,Límites,Regresión,Alta,Aprobado,Sin defecto,,QA,R25,Laura,2026-07-07,27,Sí,No
TC-0191,Validar consumos,Tarjetas,Pagos,Seguridad,Media,Fallido,Alta,DEF-1191,UAT,R25,Miguel,2026-07-25,26,Sí,Sí
TC-0192,Validar reversos,Pagos,Pago de servicios,Regresión,Baja,Aprobado,Sin defecto,,SIT,R25,Carlos,2026-08-08,55,Sí,No
TC-0193,Validar ach,Pagos,ACH,Regresión,Media,Aprobado,Sin defecto,,QA,R25,Laura,2026-08-09,44,Sí,Sí
TC-0194,Validar consumos,Tarjetas,Consumos,COB/EOD,Alta,No ejecutado,Sin defecto,,UAT,R25,Laura,2026-07-26,0,No,No
TC-0195,Validar desembolso,Préstamos,Reversos,Seguridad,Media,Bloqueado,Media,DEF-1085,UAT,R25,José,2026-07-18,30,Sí,No
TC-0196,Validar pago de servicios,Pagos,LBTR,Seguridad,Baja,Aprobado,Sin defecto,,UAT,R25,Miguel,2026-07-05,32,Sí,No
TC-0197,Validar límites,Transferencias,Reversos,COB/EOD,Alta,Aprobado,Sin defecto,,QA,R25,Miguel,2026-08-01,40,Sí,No
TC-0198,Validar interbancarias,Transferencias,Interbancarias,Seguridad,Media,Fallido,Media,DEF-1198,QA,R25,Ana,2026-07-29,65,Sí,No
TC-0199,Validar lbtr,Pagos,Pago de servicios,COB/EOD,Media,Aprobado,Sin defecto,,SIT,R25,Laura,2026-08-02,64,Sí,Sí
TC-0200,Validar bloqueo,Clientes,Bloqueo,COB/EOD,Alta,Aprobado,Sin defecto,,SIT,R25,Elena,2026-08-04,67,Sí,No
TC-0201,Validar pagos,Tarjetas,Emisión,Regresión,Alta,Aprobado,Sin defecto,,QA,R25,Carlos,2026-07-01,36,Sí,No
TC-0202,Validar ach,Pagos,Pago de servicios,Regresión,Alta,Aprobado,Sin defecto,,UAT,R25,Ana,2026-08-17,34,Sí,Sí
TC-0203,Validar emisión,Tarjetas,Consumos,Funcional,Media,Aprobado,Sin defecto,,UAT,R25,Ana,2026-07-29,57,Sí,No
TC-0204,Validar límites,Transferencias,Internas,API,Alta,Aprobado,Sin defecto,,QA,R25,Laura,2026-08-07,49,Sí,No
TC-0205,Validar pagos,Tarjetas,Bloqueo,API,Media,Aprobado,Sin defecto,,QA,R25,Carlos,2026-07-20,33,Sí,No
TC-0206,Validar debida diligencia,Clientes,Debida diligencia,API,Alta,Aprobado,Sin defecto,,UAT,R25,Elena,2026-07-25,60,Sí,No
TC-0207,Validar bloqueo,Clientes,Bloqueo,Seguridad,Baja,No ejecutado,Sin defecto,,UAT,R25,Laura,2026-07-03,0,No,No
TC-0208,Validar mantenimiento,Cuentas,Cargos,Integración,Media,No ejecutado,Sin defecto,,SIT,R25,Elena,2026-08-11,0,No,No
TC-0209,Validar cargos,Cuentas,Cierre,API,Alta,Fallido,Alta,DEF-1050,UAT,R25,Miguel,2026-07-09,31,Sí,No
TC-0210,Validar creación,Clientes,Debida diligencia,Funcional,Alta,Aprobado,Sin defecto,,SIT,R25,Ana,2026-08-17,68,Sí,No
TC-0211,Validar cierre,Cuentas,Cargos,Integración,Alta,Aprobado,Sin defecto,,UAT,R25,Carlos,2026-07-31,11,Sí,No
TC-0212,Validar apertura,Cuentas,Cargos,Seguridad,Media,Fallido,Alta,DEF-1050,QA,R25,Elena,2026-07-29,46,Sí,Sí
TC-0213,Validar consumos,Tarjetas,Emisión,API,Media,Aprobado,Sin defecto,,SIT,R25,Laura,2026-07-14,59,Sí,No
TC-0214,Validar internas,Transferencias,Límites,Funcional,Alta,Fallido,Media,DEF-1198,SIT,R25,José,2026-07-17,15,Sí,No
TC-0215,Validar cuotas,Préstamos,Reversos,Regresión,Alta,Aprobado,Sin defecto,,QA,R25,Miguel,2026-07-02,73,Sí,No
TC-0216,Validar bloqueo,Clientes,Bloqueo,Seguridad,Alta,Aprobado,Sin defecto,,QA,R25,Miguel,2026-07-21,36,Sí,No
TC-0217,Validar consumos,Tarjetas,Bloqueo,Seguridad,Media,Aprobado,Sin defecto,,QA,R25,Elena,2026-07-02,38,Sí,No
TC-0218,Validar cuotas,Préstamos,Desembolso,Integración,Baja,Fallido,Baja,DEF-1060,UAT,R25,Miguel,2026-08-07,46,Sí,No
TC-0219,Validar cierre,Cuentas,Cargos,Funcional,Crítica,Aprobado,Sin defecto,,SIT,R25,Carlos,2026-07-22,14,Sí,No
TC-0220,Validar límites,Transferencias,Límites,Seguridad,Media,Aprobado,Sin defecto,,QA,R25,Miguel,2026-08-13,23,No,Sí
TC-0221,Validar emisión,Tarjetas,Consumos,Regresión,Alta,Aprobado,Sin defecto,,QA,R25,Ana,2026-08-03,61,Sí,No
TC-0222,Validar creación,Clientes,Actualización,Integración,Baja,Aprobado,Sin defecto,,SIT,R25,Carlos,2026-07-14,51,Sí,No
TC-0223,Validar actualización,Clientes,Actualización,Regresión,Media,No ejecutado,Sin defecto,,QA,R25,Laura,2026-07-18,0,No,No
TC-0224,Validar pagos,Tarjetas,Bloqueo,Regresión,Baja,Bloqueado,Alta,DEF-1224,SIT,R25,Ana,2026-08-14,37,Sí,No
TC-0225,Validar apertura,Cuentas,Cierre,Integración,Alta,Aprobado,Sin defecto,,SIT,R25,Carlos,2026-08-07,13,Sí,Sí
TC-0226,Validar reversos,Pagos,Pago de servicios,COB/EOD,Alta,Aprobado,Sin defecto,,QA,R25,Miguel,2026-07-06,57,Sí,No
TC-0227,Validar reversos,Pagos,LBTR,API,Alta,Bloqueado,Media,DEF-1038,UAT,R25,Miguel,2026-08-06,45,Sí,Sí
TC-0228,Validar reversos,Préstamos,Desembolso,API,Crítica,Aprobado,Sin defecto,,QA,R25,Ana,2026-07-07,33,Sí,No
TC-0229,Validar bloqueo,Clientes,Creación,Regresión,Media,Aprobado,Sin defecto,,QA,R25,Ana,2026-08-03,10,Sí,Sí
TC-0230,Validar cierre,Cuentas,Cierre,COB/EOD,Alta,Aprobado,Sin defecto,,QA,R25,José,2026-07-12,20,Sí,No
TC-0231,Validar pagos,Préstamos,Cuotas,Regresión,Media,Fallido,Media,DEF-1099,SIT,R25,José,2026-07-22,50,Sí,No
TC-0232,Validar lbtr,Pagos,LBTR,API,Crítica,Aprobado,Sin defecto,,SIT,R25,Elena,2026-07-17,6,Sí,No
TC-0233,Validar lbtr,Pagos,LBTR,Integración,Media,No ejecutado,Sin defecto,,UAT,R25,Ana,2026-08-13,0,No,Sí
TC-0234,Validar reversos,Pagos,LBTR,Seguridad,Baja,No ejecutado,Sin defecto,,QA,R25,Elena,2026-07-21,0,No,No
TC-0235,Validar pagos,Tarjetas,Emisión,COB/EOD,Media,Aprobado,Sin defecto,,SIT,R25,Ana,2026-08-15,41,Sí,Sí
TC-0236,Validar cuotas,Préstamos,Cuotas,API,Alta,Aprobado,Sin defecto,,UAT,R25,Elena,2026-07-08,22,Sí,Sí
TC-0237,Validar apertura,Cuentas,Mantenimiento,Regresión,Media,Aprobado,Sin defecto,,UAT,R25,Carlos,2026-07-05,66,Sí,No
TC-0238,Validar mantenimiento,Cuentas,Mantenimiento,Integración,Crítica,No ejecutado,Sin defecto,,UAT,R25,Laura,2026-07-04,0,No,No
TC-0239,Validar pago de servicios,Pagos,ACH,Seguridad,Alta,Aprobado,Sin defecto,,UAT,R25,Ana,2026-07-08,55,Sí,No
TC-0240,Validar internas,Transferencias,Interbancarias,Integración,Alta,No ejecutado,Sin defecto,,UAT,R25,Laura,2026-07-30,0,No,No
TC-0241,Validar pagos,Préstamos,Cuotas,Regresión,Media,No ejecutado,Sin defecto,,SIT,R25,Miguel,2026-08-01,0,No,No
TC-0242,Validar lbtr,Pagos,ACH,Seguridad,Media,Aprobado,Sin defecto,,SIT,R25,Carlos,2026-07-31,31,Sí,Sí
TC-0243,Validar desembolso,Préstamos,Pagos,COB/EOD,Media,Fallido,Alta,DEF-1047,UAT,R25,Carlos,2026-07-01,44,Sí,Sí
TC-0244,Validar creación,Clientes,Bloqueo,Integración,Media,Aprobado,Sin defecto,,UAT,R25,Laura,2026-07-11,26,Sí,No
TC-0245,Validar lbtr,Pagos,LBTR,COB/EOD,Media,Aprobado,Sin defecto,,QA,R25,Carlos,2026-08-17,38,Sí,No
TC-0246,Validar mantenimiento,Cuentas,Mantenimiento,API,Media,Aprobado,Sin defecto,,SIT,R25,Carlos,2026-07-23,75,Sí,No
TC-0247,Validar ach,Pagos,LBTR,Regresión,Crítica,Aprobado,Sin defecto,,SIT,R25,José,2026-07-24,73,Sí,Sí
TC-0248,Validar debida diligencia,Clientes,Creación,Funcional,Baja,Aprobado,Sin defecto,,QA,R25,José,2026-07-21,21,Sí,No
TC-0249,Validar bloqueo,Tarjetas,Bloqueo,API,Media,Aprobado,Sin defecto,,UAT,R25,Elena,2026-07-23,12,Sí,Sí
TC-0250,Validar reversos,Préstamos,Reversos,Seguridad,Media,Aprobado,Sin defecto,,SIT,R25,Carlos,2026-08-13,55,Sí,Sí
TC-0251,Validar debida diligencia,Clientes,Actualización,COB/EOD,Baja,Aprobado,Sin defecto,,SIT,R25,Ana,2026-07-02,57,Sí,Sí
TC-0252,Validar pagos,Préstamos,Reversos,Funcional,Alta,Fallido,Baja,DEF-1060,UAT,R25,Ana,2026-07-19,27,Sí,Sí
TC-0253,Validar lbtr,Pagos,Pago de servicios,Funcional,Crítica,Aprobado,Sin defecto,,UAT,R25,Carlos,2026-07-05,21,Sí,Sí
TC-0254,Validar lbtr,Pagos,Pago de servicios,Integración,Alta,No ejecutado,Sin defecto,,UAT,R25,Ana,2026-08-14,0,No,Sí
TC-0255,Validar creación,Clientes,Bloqueo,COB/EOD,Media,Aprobado,Sin defecto,,SIT,R25,Miguel,2026-07-12,48,Sí,No
TC-0256,Validar lbtr,Pagos,Pago de servicios,API,Alta,Aprobado,Sin defecto,,UAT,R25,Miguel,2026-08-09,47,Sí,Sí
TC-0257,Validar actualización,Clientes,Debida diligencia,API,Media,Aprobado,Sin defecto,,QA,R25,Ana,2026-07-10,72,Sí,No
TC-0258,Validar pago de servicios,Pagos,Pago de servicios,Funcional,Media,No ejecutado,Sin defecto,,UAT,R25,Miguel,2026-08-02,0,No,No
TC-0259,Validar desembolso,Préstamos,Reversos,Integración,Baja,No ejecutado,Sin defecto,,QA,R25,Ana,2026-08-17,0,No,No
TC-0260,Validar creación,Clientes,Bloqueo,Funcional,Alta,Aprobado,Sin defecto,,UAT,R25,Elena,2026-07-09,7,Sí,No
TC-0261,Validar emisión,Tarjetas,Emisión,Integración,Alta,No ejecutado,Sin defecto,,UAT,R25,Carlos,2026-08-16,0,No,No
TC-0262,Validar reversos,Pagos,LBTR,Regresión,Alta,Aprobado,Sin defecto,,UAT,R25,Laura,2026-08-07,36,Sí,Sí
TC-0263,Validar actualización,Clientes,Debida diligencia,Funcional,Media,Aprobado,Sin defecto,,QA,R25,Miguel,2026-07-11,4,Sí,Sí
TC-0264,Validar cuotas,Préstamos,Pagos,Regresión,Baja,Aprobado,Sin defecto,,QA,R25,Miguel,2026-07-30,18,Sí,No
TC-0265,Validar internas,Transferencias,Internas,Integración,Alta,No ejecutado,Sin defecto,,UAT,R25,Elena,2026-07-08,0,No,No
TC-0266,Validar cargos,Cuentas,Cierre,COB/EOD,Alta,Aprobado,Sin defecto,,SIT,R25,Miguel,2026-07-11,23,Sí,No
TC-0267,Validar creación,Clientes,Bloqueo,Funcional,Baja,Aprobado,Sin defecto,,QA,R25,José,2026-07-01,19,Sí,No
TC-0268,Validar pagos,Préstamos,Desembolso,Seguridad,Media,Aprobado,Sin defecto,,QA,R25,Laura,2026-07-07,63,Sí,No
TC-0269,Validar interbancarias,Transferencias,Reversos,Funcional,Crítica,Aprobado,Sin defecto,,SIT,R25,Miguel,2026-07-30,6,Sí,No
TC-0270,Validar debida diligencia,Clientes,Bloqueo,Seguridad,Alta,Aprobado,Sin defecto,,QA,R25,Carlos,2026-08-17,59,Sí,Sí
TC-0271,Validar debida diligencia,Clientes,Creación,COB/EOD,Alta,Bloqueado,Media,DEF-1271,SIT,R25,José,2026-08-04,63,Sí,No
TC-0272,Validar pagos,Tarjetas,Bloqueo,Funcional,Media,Aprobado,Sin defecto,,SIT,R25,Elena,2026-07-19,62,Sí,Sí
TC-0273,Validar internas,Transferencias,Internas,COB/EOD,Baja,Fallido,Baja,DEF-1273,SIT,R25,Laura,2026-07-03,6,Sí,No
TC-0274,Validar interbancarias,Transferencias,Límites,Seguridad,Media,Fallido,Alta,DEF-1274,SIT,R25,Carlos,2026-07-27,16,Sí,No
TC-0275,Validar creación,Clientes,Actualización,Seguridad,Baja,Aprobado,Sin defecto,,UAT,R25,Miguel,2026-07-09,42,No,No
TC-0276,Validar emisión,Tarjetas,Emisión,COB/EOD,Alta,No ejecutado,Sin defecto,,QA,R25,José,2026-07-28,0,No,No
TC-0277,Validar cargos,Cuentas,Apertura,Integración,Alta,Aprobado,Sin defecto,,UAT,R25,Carlos,2026-07-08,46,Sí,No
TC-0278,Validar apertura,Cuentas,Cargos,COB/EOD,Media,Bloqueado,Media,DEF-1278,SIT,R25,Miguel,2026-07-09,7,Sí,No
TC-0279,Validar ach,Pagos,LBTR,Funcional,Media,No ejecutado,Sin defecto,,SIT,R25,Elena,2026-07-29,0,No,No
TC-0280,Validar interbancarias,Transferencias,Internas,Integración,Media,Bloqueado,Alta,DEF-1143,SIT,R25,Carlos,2026-07-13,72,Sí,No
TC-0281,Validar mantenimiento,Cuentas,Apertura,Seguridad,Media,Aprobado,Sin defecto,,QA,R25,Laura,2026-08-02,4,Sí,No
TC-0282,Validar consumos,Tarjetas,Consumos,Integración,Baja,Fallido,Media,DEF-1282,QA,R25,José,2026-07-20,26,Sí,Sí
TC-0283,Validar actualización,Clientes,Debida diligencia,COB/EOD,Media,Fallido,Media,DEF-1043,QA,R25,Carlos,2026-08-07,33,No,Sí
TC-0284,Validar consumos,Tarjetas,Pagos,API,Crítica,Fallido,Baja,DEF-1284,QA,R25,Carlos,2026-07-09,57,Sí,No
TC-0285,Validar reversos,Transferencias,Interbancarias,Seguridad,Baja,Aprobado,Sin defecto,,QA,R25,Laura,2026-08-14,46,Sí,No
TC-0286,Validar reversos,Transferencias,Límites,Integración,Baja,Bloqueado,Media,DEF-1286,SIT,R25,Laura,2026-08-10,31,Sí,No
TC-0287,Validar bloqueo,Tarjetas,Bloqueo,API,Media,Aprobado,Sin defecto,,UAT,R25,Ana,2026-07-20,45,Sí,No
TC-0288,Validar pagos,Préstamos,Pagos,API,Media,No ejecutado,Sin defecto,,UAT,R25,Miguel,2026-07-20,0,No,Sí
TC-0289,Validar bloqueo,Clientes,Debida diligencia,Seguridad,Media,Aprobado,Sin defecto,,SIT,R25,Miguel,2026-07-18,51,Sí,Sí
TC-0290,Validar pago de servicios,Pagos,Reversos,COB/EOD,Media,Fallido,Baja,DEF-1290,UAT,R25,Miguel,2026-07-17,16,No,No
TC-0291,Validar interbancarias,Transferencias,Interbancarias,COB/EOD,Media,Aprobado,Sin defecto,,QA,R25,José,2026-07-18,19,Sí,Sí
TC-0292,Validar pagos,Préstamos,Reversos,API,Media,Aprobado,Sin defecto,,QA,R25,Laura,2026-08-17,7,Sí,No
TC-0293,Validar mantenimiento,Cuentas,Mantenimiento,Funcional,Media,Fallido,Baja,DEF-1055,UAT,R25,Miguel,2026-08-16,43,Sí,No
TC-0294,Validar pago de servicios,Pagos,Pago de servicios,Seguridad,Baja,Aprobado,Sin defecto,,QA,R25,Laura,2026-08-04,22,Sí,Sí
TC-0295,Validar reversos,Préstamos,Reversos,Regresión,Media,Aprobado,Sin defecto,,QA,R25,Laura,2026-08-09,16,Sí,No
TC-0296,Validar mantenimiento,Cuentas,Apertura,Integración,Media,Fallido,Alta,DEF-1296,QA,R25,Laura,2026-07-04,4,Sí,Sí
TC-0297,Validar lbtr,Pagos,Reversos,COB/EOD,Baja,Aprobado,Sin defecto,,UAT,R25,Carlos,2026-08-02,7,Sí,Sí
TC-0298,Validar bloqueo,Clientes,Actualización,COB/EOD,Media,Aprobado,Sin defecto,,SIT,R25,José,2026-08-03,31,Sí,No
TC-0299,Validar ach,Pagos,Reversos,API,Media,Aprobado,Sin defecto,,QA,R25,Miguel,2026-07-25,53,Sí,No
TC-0300,Validar reversos,Transferencias,Reversos,Seguridad,Media,Fallido,Alta,DEF-1274,UAT,R25,Elena,2026-07-20,56,Sí,Sí
TC-0301,Validar pagos,Préstamos,Pagos,Funcional,Media,Aprobado,Sin defecto,,QA,R25,José,2026-08-14,48,Sí,No
TC-0302,Validar pago de servicios,Pagos,Pago de servicios,Regresión,Media,Aprobado,Sin defecto,,QA,R25,Laura,2026-08-05,56,Sí,No
TC-0303,Validar actualización,Clientes,Bloqueo,COB/EOD,Alta,Aprobado,Sin defecto,,UAT,R25,Laura,2026-07-23,34,Sí,No
TC-0304,Validar bloqueo,Tarjetas,Bloqueo,Seguridad,Baja,No ejecutado,Sin defecto,,UAT,R25,José,2026-07-31,0,No,No
TC-0305,Validar creación,Clientes,Bloqueo,Regresión,Alta,Aprobado,Sin defecto,,UAT,R25,Laura,2026-08-11,26,Sí,No
TC-0306,Validar bloqueo,Tarjetas,Bloqueo,COB/EOD,Alta,Aprobado,Sin defecto,,QA,R25,Ana,2026-07-17,19,Sí,No
TC-0307,Validar apertura,Cuentas,Apertura,Integración,Baja,Aprobado,Sin defecto,,UAT,R25,Laura,2026-07-30,68,Sí,Sí
TC-0308,Validar pagos,Préstamos,Cuotas,API,Crítica,Aprobado,Sin defecto,,UAT,R25,José,2026-08-04,23,Sí,Sí
TC-0309,Validar apertura,Cuentas,Cierre,COB/EOD,Baja,Aprobado,Sin defecto,,UAT,R25,Elena,2026-07-21,33,Sí,Sí
TC-0310,Validar reversos,Préstamos,Desembolso,Regresión,Media,Aprobado,Sin defecto,,SIT,R25,Miguel,2026-08-07,51,Sí,Sí
TC-0311,Validar límites,Transferencias,Límites,Funcional,Media,Aprobado,Sin defecto,,QA,R25,Miguel,2026-07-03,59,Sí,No
TC-0312,Validar cierre,Cuentas,Cierre,Integración,Media,Aprobado,Sin defecto,,QA,R25,Laura,2026-07-10,64,Sí,No
TC-0313,Validar bloqueo,Clientes,Actualización,Regresión,Crítica,Aprobado,Sin defecto,,QA,R25,Carlos,2026-07-27,48,No,Sí
TC-0314,Validar pago de servicios,Pagos,Reversos,Funcional,Media,No ejecutado,Sin defecto,,UAT,R25,Laura,2026-08-01,0,No,No
TC-0315,Validar debida diligencia,Clientes,Bloqueo,Regresión,Alta,Fallido,Media,DEF-1315,QA,R25,Miguel,2026-07-07,16,Sí,No
TC-0316,Validar cargos,Cuentas,Cargos,Integración,Alta,Fallido,Alta,DEF-1296,QA,R25,Elena,2026-08-05,39,Sí,No
TC-0317,Validar desembolso,Préstamos,Reversos,COB/EOD,Baja,Aprobado,Sin defecto,,QA,R25,Laura,2026-07-01,13,Sí,No
TC-0318,Validar reversos,Préstamos,Reversos,Regresión,Media,Aprobado,Sin defecto,,UAT,R25,Laura,2026-07-13,22,Sí,Sí
TC-0319,Validar debida diligencia,Clientes,Creación,COB/EOD,Media,Aprobado,Sin defecto,,UAT,R25,José,2026-07-13,46,Sí,No
TC-0320,Validar actualización,Clientes,Bloqueo,COB/EOD,Media,Aprobado,Sin defecto,,QA,R25,Carlos,2026-07-02,18,Sí,No
TC-0321,Validar debida diligencia,Clientes,Actualización,Seguridad,Baja,No ejecutado,Sin defecto,,QA,R25,Miguel,2026-07-15,0,No,No
TC-0322,Validar apertura,Cuentas,Apertura,Funcional,Alta,Aprobado,Sin defecto,,SIT,R25,Ana,2026-07-19,74,Sí,No
TC-0323,Validar desembolso,Préstamos,Cuotas,Seguridad,Media,Aprobado,Sin defecto,,UAT,R25,Laura,2026-07-01,66,Sí,Sí
TC-0324,Validar pagos,Tarjetas,Consumos,API,Baja,Aprobado,Sin defecto,,UAT,R25,Miguel,2026-08-16,14,Sí,No
TC-0325,Validar emisión,Tarjetas,Emisión,API,Media,Bloqueado,Alta,DEF-1224,UAT,R25,José,2026-07-30,21,Sí,Sí
TC-0326,Validar bloqueo,Clientes,Actualización,COB/EOD,Alta,Aprobado,Sin defecto,,UAT,R25,José,2026-07-08,38,Sí,Sí
TC-0327,Validar pagos,Préstamos,Reversos,COB/EOD,Media,Aprobado,Sin defecto,,SIT,R25,José,2026-08-13,15,Sí,No
TC-0328,Validar bloqueo,Clientes,Bloqueo,COB/EOD,Baja,Fallido,Media,DEF-1315,UAT,R25,Laura,2026-07-22,44,Sí,Sí
TC-0329,Validar reversos,Transferencias,Internas,Seguridad,Crítica,Aprobado,Sin defecto,,QA,R25,Laura,2026-07-28,6,No,No
TC-0330,Validar mantenimiento,Cuentas,Cierre,Integración,Alta,Fallido,Alta,DEF-1296,SIT,R25,Laura,2026-07-17,6,Sí,No
TC-0331,Validar consumos,Tarjetas,Bloqueo,Seguridad,Baja,Fallido,Baja,DEF-1284,UAT,R25,Laura,2026-08-09,15,Sí,Sí
TC-0332,Validar límites,Transferencias,Internas,Funcional,Alta,Aprobado,Sin defecto,,SIT,R25,Carlos,2026-08-07,31,Sí,No
TC-0333,Validar ach,Pagos,Reversos,COB/EOD,Media,Aprobado,Sin defecto,,UAT,R25,Elena,2026-08-10,7,Sí,Sí
TC-0334,Validar límites,Transferencias,Límites,Funcional,Media,Aprobado,Sin defecto,,UAT,R25,Carlos,2026-07-08,25,Sí,No
TC-0335,Validar ach,Pagos,LBTR,Regresión,Crítica,No ejecutado,Sin defecto,,UAT,R25,Miguel,2026-07-26,0,No,Sí
TC-0336,Validar desembolso,Préstamos,Desembolso,API,Crítica,Aprobado,Sin defecto,,UAT,R25,José,2026-07-25,31,Sí,No
TC-0337,Validar mantenimiento,Cuentas,Mantenimiento,Seguridad,Media,Aprobado,Sin defecto,,SIT,R25,Miguel,2026-07-24,15,Sí,Sí
TC-0338,Validar reversos,Préstamos,Reversos,COB/EOD,Alta,Aprobado,Sin defecto,,QA,R25,Carlos,2026-07-27,23,Sí,No
TC-0339,Validar reversos,Pagos,Reversos,Integración,Crítica,Aprobado,Sin defecto,,UAT,R25,Elena,2026-08-02,54,Sí,No
TC-0340,Validar pagos,Tarjetas,Pagos,Seguridad,Media,No ejecutado,Sin defecto,,UAT,R25,Elena,2026-07-25,0,No,No
TC-0341,Validar ach,Pagos,Reversos,COB/EOD,Alta,Aprobado,Sin defecto,,QA,R25,Carlos,2026-07-02,35,Sí,No
TC-0342,Validar lbtr,Pagos,Pago de servicios,Regresión,Alta,Aprobado,Sin defecto,,UAT,R25,Elena,2026-07-29,18,Sí,Sí
TC-0343,Validar bloqueo,Clientes,Actualización,Funcional,Media,Aprobado,Sin defecto,,SIT,R25,Elena,2026-08-04,39,Sí,No
TC-0344,Validar interbancarias,Transferencias,Límites,Integración,Baja,Aprobado,Sin defecto,,UAT,R25,José,2026-07-18,62,No,No
TC-0345,Validar cierre,Cuentas,Cargos,Seguridad,Media,Aprobado,Sin defecto,,QA,R25,Elena,2026-07-30,49,Sí,Sí
TC-0346,Validar emisión,Tarjetas,Pagos,API,Crítica,Aprobado,Sin defecto,,UAT,R25,Ana,2026-07-04,39,Sí,No
TC-0347,Validar consumos,Tarjetas,Bloqueo,Funcional,Alta,Aprobado,Sin defecto,,UAT,R25,Carlos,2026-08-04,59,Sí,Sí
TC-0348,Validar emisión,Tarjetas,Consumos,Regresión,Media,No ejecutado,Sin defecto,,UAT,R25,Miguel,2026-07-06,0,No,No
TC-0349,Validar mantenimiento,Cuentas,Cargos,Regresión,Alta,No ejecutado,Sin defecto,,SIT,R25,Ana,2026-07-22,0,No,No
TC-0350,Validar actualización,Clientes,Actualización,COB/EOD,Alta,Fallido,Baja,DEF-1021,UAT,R25,Laura,2026-07-11,42,Sí,No
TC-0351,Validar bloqueo,Tarjetas,Consumos,COB/EOD,Alta,Bloqueado,Alta,DEF-1224,SIT,R25,Ana,2026-08-14,25,Sí,No
TC-0352,Validar bloqueo,Tarjetas,Emisión,Funcional,Media,Aprobado,Sin defecto,,UAT,R25,Laura,2026-08-15,48,Sí,Sí
TC-0353,Validar creación,Clientes,Actualización,Funcional,Media,Fallido,Alta,DEF-1353,QA,R25,José,2026-08-09,50,Sí,Sí
TC-0354,Validar reversos,Pagos,LBTR,Funcional,Media,Fallido,Baja,DEF-1290,QA,R25,Miguel,2026-07-10,30,Sí,No
TC-0355,Validar cargos,Cuentas,Mantenimiento,API,Alta,Aprobado,Sin defecto,,QA,R25,Elena,2026-07-30,39,Sí,Sí
TC-0356,Validar creación,Clientes,Debida diligencia,Seguridad,Media,No ejecutado,Sin defecto,,UAT,R25,Carlos,2026-07-12,0,No,No
TC-0357,Validar cargos,Cuentas,Cargos,COB/EOD,Baja,No ejecutado,Sin defecto,,SIT,R25,Carlos,2026-07-11,0,No,No
TC-0358,Validar cargos,Cuentas,Mantenimiento,COB/EOD,Media,Fallido,Baja,DEF-1358,QA,R25,Laura,2026-08-16,32,Sí,Sí
TC-0359,Validar bloqueo,Clientes,Creación,Funcional,Media,Aprobado,Sin defecto,,UAT,R25,Miguel,2026-08-05,12,Sí,Sí
TC-0360,Validar pagos,Préstamos,Reversos,COB/EOD,Alta,Fallido,Alta,DEF-1360,UAT,R25,José,2026-08-09,65,Sí,No
TC-0361,Validar actualización,Clientes,Actualización,Regresión,Crítica,Aprobado,Sin defecto,,UAT,R25,Carlos,2026-08-04,31,Sí,Sí
TC-0362,Validar ach,Pagos,LBTR,Integración,Baja,No ejecutado,Sin defecto,,UAT,R25,Carlos,2026-07-14,0,No,No
TC-0363,Validar ach,Pagos,LBTR,Seguridad,Crítica,Fallido,Alta,DEF-1186,QA,R25,Miguel,2026-08-03,28,Sí,No
TC-0364,Validar cierre,Cuentas,Cierre,API,Crítica,Aprobado,Sin defecto,,UAT,R25,Carlos,2026-08-01,35,Sí,Sí
TC-0365,Validar bloqueo,Clientes,Actualización,Seguridad,Media,Aprobado,Sin defecto,,UAT,R25,Ana,2026-08-15,38,Sí,Sí
TC-0366,Validar cuotas,Préstamos,Pagos,COB/EOD,Alta,Aprobado,Sin defecto,,QA,R25,Laura,2026-08-15,33,Sí,Sí
TC-0367,Validar pagos,Préstamos,Desembolso,Seguridad,Media,No ejecutado,Sin defecto,,QA,R25,Laura,2026-07-28,0,No,No
TC-0368,Validar apertura,Cuentas,Cargos,Regresión,Alta,Aprobado,Sin defecto,,UAT,R25,Elena,2026-07-03,64,Sí,No
TC-0369,Validar cargos,Cuentas,Cierre,Funcional,Media,Aprobado,Sin defecto,,UAT,R25,José,2026-07-07,74,Sí,No
TC-0370,Validar mantenimiento,Cuentas,Cierre,Regresión,Baja,Fallido,Media,DEF-1370,QA,R25,Miguel,2026-07-05,21,Sí,Sí
TC-0371,Validar creación,Clientes,Actualización,API,Media,Aprobado,Sin defecto,,QA,R25,José,2026-07-20,73,Sí,No
TC-0372,Validar cierre,Cuentas,Cargos,Integración,Alta,Fallido,Alta,DEF-1372,SIT,R25,Ana,2026-08-07,5,Sí,No
TC-0373,Validar pago de servicios,Pagos,Pago de servicios,Funcional,Media,Aprobado,Sin defecto,,UAT,R25,Elena,2026-07-03,70,Sí,No
TC-0374,Validar límites,Transferencias,Reversos,Regresión,Alta,Fallido,Media,DEF-1198,UAT,R25,Ana,2026-08-06,4,No,No
